PLR_NAME,PLR_ANZAHL,PLR_GLEISTUNG,PLR_EW2013,alias,PLR_GLEW2013
Großer Tiergarten,5,394.0,0,01011102,
Huttenkiez,1,20.0,110,01022101,0.18
,,,,01022102,
Westhafen,5,1948.02,16,01022103,121.75
Emdener Str.,4,20.53,4949,01022104,0.0041
,,,,01022105,
Elberfelder Str.,1,9.76,1818,01022106,0.0054
Stephankiez,4,86.97,720,01022201,0.12
Lübecker Str.,3,19.06,626,01022203,0.03
Thomasiusstr.,3,158.68,1263,01022204,0.12
Lüneburger Str.,1,130.1,4,01022206,32.52
Hansaviertel,5,59.07,978,01022207,0.06
Rehberge,3,89.14,245,01044101,0.36
Sparrplatz,1,29.3,1019,01044202,0.02
Plötzensee,4,97.32,352,04010102,0.27
Paul-Hertz-Siedlung,3,70.55,726,04010103,0.09
,,,,04030518,
Kaiserin-Augusta-Allee,9,132.62,1034,04030519,0.12
,,,,04030620,
,,,,04030621,
Richard-Wagner-Straße,2,45.07,363,04030622,0.12
Ernst-Reuter-Platz,1,15.8,82,04030623,0.19
