PLANNAME,EW2012,alias,INDI1,INDI2,INDI3,INDI4,INDI5,INDI6,INDI7,INDI8,INDI9,INDI10,INDI11,INDI12,INDI13
Großer Tiergarten,180,01011102,,,,,,,,,,,,,
Huttenkiez,3142,01022101,4.56,38.76,15.81,78.95,45.89,2.76,32.22,1.61,100,45.84,42.67,2.69,-1.21
Beusselkiez,5849,01022102,7.13,32.98,18,78.87,54.56,0.21,37.49,2,100,46.8,44.56,2.22,-6.61
Westhafen,220,01022103,,,,,,,,,,,,,
Emdener Straße,17089,01022104,4.24,30.8,14.59,69.16,44.87,0.11,31.53,2.74,100,53.13,32.73,0.72,-4.23
Zwinglistraße,4887,01022105,5.4,30.86,16.74,81.76,54.21,0.82,40.2,0,100,51.13,37.04,2.01,-6.83
Elberfelder Straße,10959,01022106,3.64,28.22,5.76,47.6,31.07,1.03,23.07,0.29,4.27,59.25,26.41,1.03,-2.07
Stephankiez,10000,01022201,4.63,29.5,14.06,72.42,45.24,0.04,33.7,0.26,99.97,50.57,35.56,1.41,-5.64
Lübecker Straße,6751,01022203,5.34,31.2,16.98,84.11,57.03,1.72,39.72,13.11,41.48,55.44,30.9,3.39,3.74
Thomasiusstraße,5677,01022204,4.04,29.82,7.68,52.7,34.91,2.28,20.88,0.11,6.8,59.19,31.38,1.31,-4.48
Lüneburger Straße,3016,01022206,3.83,30.18,8.76,62.7,37.27,0.44,22.18,0,0,58.48,26.73,1.43,3.51
Hansaviertel,5366,01022207,1.82,24.86,8.7,57.92,39.56,-2.31,13.1,1.23,0,59.57,34.16,-1.94,-3.57
Rehberge,19210,01044101,6.38,36.62,7.86,69.21,42.83,1.57,38.09,3.07,99.55,54.47,31.28,1.61,-4.51
Sparrplatz,15894,01044202,4.66,27.81,15.17,79.46,55.1,0.6,32.04,2.87,99.82,43.39,48.32,2.42,-4.91
Plötzensee,753,04010102,0,24.24,0,48.28,26.29,5.1,9.74,0,79.42,62.07,48.3,-0.89,3.57
Paul-Hertz-Siedlung,7489,04010103,7.33,38.44,9.61,72.34,44.3,1.56,45.24,94.11,16.96,63.87,20.34,1.93,1.46
Tegeler Weg,9110,04030518,3.53,33.38,8.75,62.97,39.2,0.97,20.32,0.59,71.37,60.59,26.3,1.13,-8.32
Kaiserin-Augusta-Allee,5406,04030519,3.41,33.87,9.12,64.61,39.66,0.39,25.21,11.67,23.46,57.09,30.59,1.91,-5.57
Alt-Lietzow,8386,04030620,3.5,30.77,8.66,65.24,41.06,0.88,18.22,2.52,2.78,61.01,25.19,1.15,-0.17
Spreestadt,2949,04030621,2.3,32.35,18.35,75.88,51.03,0.39,26.48,1.1,100,53.33,34.24,0.97,-7.52
Richard-Wagner-Straße,10002,04030622,3.6,30.82,11.38,68.33,43.78,1.41,18.93,14.35,0,60.99,27.14,1.07,-2.58
Ernst-Reuter-Platz,4314,04030623,3.6,33.15,14.59,78.62,53.66,-0.33,21.4,18.92,0,59.61,26.25,1.57,-0.54
