Bewuchs_schluessel,Bewuchs_bezeichnung,AAA-Beschreibung,alias
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1449
1103,Heckenmitte,AX_Vegetationsmerkmal,F6__1455
1103,Heckenmitte,AX_Vegetationsmerkmal,F6__1458
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1464
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1465
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1467
1103,Heckenmitte,AX_Vegetationsmerkmal,F6__1469
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1470
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1473
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1476
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1477
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1478
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1480
1103,Heckenmitte,AX_Vegetationsmerkmal,F6__1481
1103,Heckenmitte,AX_Vegetationsmerkmal,F6__1483
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1487
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1488
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1493
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1494
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1495
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1497
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1498
1101,Heckenkante rechts,AX_Vegetationsmerkmal,F6__1503
1500,Gras,AX_Vegetationsmerkmal,F6__2062
1500,Gras,AX_Vegetationsmerkmal,F6__2064
1500,Gras,AX_Vegetationsmerkmal,F6__2081
1500,Gras,AX_Vegetationsmerkmal,F6__2082
1500,Gras,AX_Vegetationsmerkmal,F6__2086
1500,Gras,AX_Vegetationsmerkmal,F6__2088
1500,Gras,AX_Vegetationsmerkmal,F6__2098
1500,Gras,AX_Vegetationsmerkmal,F6__2100
1500,Gras,AX_Vegetationsmerkmal,F6__2106
1500,Gras,AX_Vegetationsmerkmal,F6__2108
1500,Gras,AX_Vegetationsmerkmal,F6__2110
1500,Gras,AX_Vegetationsmerkmal,F6__2114
1500,Gras,AX_Vegetationsmerkmal,F6__2119
1500,Gras,AX_Vegetationsmerkmal,F6__2122
1500,Gras,AX_Vegetationsmerkmal,F6__2124
1500,Gras,AX_Vegetationsmerkmal,F6__2130
1500,Gras,AX_Vegetationsmerkmal,F6__2141
1500,Gras,AX_Vegetationsmerkmal,F6__2145
1500,Gras,AX_Vegetationsmerkmal,F6__2146
1500,Gras,AX_Vegetationsmerkmal,F6__2154
1500,Gras,AX_Vegetationsmerkmal,F6__2168
