INH_HA,MAE_HANG,FLAECHE,alias,INH_LI
Torf und Mudde des Holozäns,> 10,2207,F9__1126,
Torf und Mudde des Holozäns,2 - 5,12040,F9__1127,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,5 - 10,2585,F9__1128,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,5 - 10,2145,F9__1129,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,< 2,3129,F9__1130,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,5 - 10,3814,F9__1148,Talsand der Weichsel-Kaltzeit
Talsand der Weichsel-Kaltzeit,> 10,2678,F9__1150,
humoser Sand des Holozäns,5 - 10,1954,F9__1163,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,5 - 10,2694,F9__1164,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,< 2,1852,F9__1165,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,< 2,1513,F9__1166,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,< 2,9309,F9__1167,Talsand der Weichsel-Kaltzeit
Mudde des Holozäns,5 - 10,40055,F9__1168,Talsand der Weichsel-Kaltzeit
Torf und Mudde des Holozäns,> 10,6340,F9__1170,
Talsand der Weichsel-Kaltzeit,> 10,1912,F9__1175,
humoser Sand des Holozäns,< 2,1716,F9__1268,Talsand der Weichsel-Kaltzeit
Torf des Holozäns,2 - 5,18027,F9__1274,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,2 - 5,68419,F9__1277,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,< 2,60790,F9__1278,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,2 - 5,5231,F9__1284,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,< 2,1863,F9__1323,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,2 - 5,970,F9__1324,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,2 - 5,3165,F9__1325,Talsand der Weichsel-Kaltzeit
Torf des Holozäns,5 - 10,2876,F9__1326,Talsand der Weichsel-Kaltzeit
Mudde des Holozäns,5 - 10,3399,F9__1327,Talsand der Weichsel-Kaltzeit
Talsand der Weichsel-Kaltzeit,> 10,8687,F9__1328,
Torf des Holozäns,5 - 10,19889,F9__1329,Talsand der Weichsel-Kaltzeit
Torf des Holozäns,5 - 10,8993,F9__1330,Talsand der Weichsel-Kaltzeit
Mudde des Holozäns,5 - 10,530,F9__1332,Talsand der Weichsel-Kaltzeit
Talsand der Weichsel-Kaltzeit,> 10,2352,F9__1333,
humoser Sand des Holozäns,2 - 5,2746,F9__1334,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,< 2,10545,F9__1335,Talsand der Weichsel-Kaltzeit
Torf des Holozäns,5 - 10,742,F9__1336,Talsand der Weichsel-Kaltzeit
Mudde des Holozäns,5 - 10,3902,F9__1373,Talsand der Weichsel-Kaltzeit
Torf des Holozäns,5 - 10,9593,F9__1374,Talsand der Weichsel-Kaltzeit
Talsand der Weichsel-Kaltzeit,> 10,2784493,F9__2712,
Talsand der Weichsel-Kaltzeit,> 10,36397,F9__2719,
Talsand der Weichsel-Kaltzeit,> 10,2461882,F9__2728,
Talsand der Weichsel-Kaltzeit,> 10,9222511,F9__2737,
humoser Sand des Holozäns,2 - 5,10991,F9__2912,Talsand der Weichsel-Kaltzeit
Torf und Mudde des Holozäns,5 - 10,203176,F9__2919,Talsand der Weichsel-Kaltzeit
Torf und Mudde des Holozäns,5 - 10,26605,F9__2920,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,2 - 5,154069,F9__2921,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,2 - 5,140,F9__2923,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,2 - 5,208,F9__2924,Talsand der Weichsel-Kaltzeit
humoser Sand des Holozäns,< 2,82469,F9__2934,Talsand der Weichsel-Kaltzeit
